,Name,Birth Date,Missions,Space Flight (hr),Space Walks (hr),Mission 1,Mission 2,Mission 3,Mission 4,Mission 5
47,Daniel C. Burbank,7/27/1961,STS-106,4512,7.0,STS-106,,,,
48,Daniel W. Bursch,7/25/1957,STS-51,5446,12.0,STS-51,,,,
49,Robert D. Cabana,1/23/1949,STS-41,910,0.0,STS-41,,,,
50,Yvonne D. Cagle,4/24/1959,,0,0.0,,,,,
51,Fernando Caldeiro,6/12/1958,,0,0.0,,,,,
52,Tracy E. Caldwell (Dyson),8/14/1969,STS-118,4531,23.0,STS-118,,,,
53,Charles J. Camarda,5/8/1952,STS-114,333,0.0,STS-114,,,,
54,Kenneth D. Cameron,11/29/1949,STS-37,562,0.0,STS-37,,,,
55,Duane G. Carey,4/30/1957,STS-109,262,0.0,STS-109,,,,
56,M. Scott Carpenter,5/1/1925,Mercury7,4,0.0,Mercury7,,,,
57,Gerald P. Carr,8/22/1932,Skylab4,2017,16.0,Skylab4,,,,
58,Manley Lanier Carter Jr. ,8/15/1947,STS-33,120,0.0,STS-33,,,,
59,John H. Casper,7/9/1943,STS-36,825,0.0,STS-36,,,,
60,Christopher J. Cassidy,1/4/1970,STS-127,4376,31.0,STS-127,,,,
61,Robert Cenker,11/5/1948,STS61-C,146,0.0,STS61-C,,,,
62,Eugene A. Cernan,3/14/1934,"Gemini9,Apollo10,Apollo17",566,24.0,Gemini9,Apollo10,Apollo17,,
63,Roger B. Chaffee,2/15/1935,Apollo1,0,0.0,Apollo1,,,,
64,Gregory E. Chamitoff,8/6/1962,STS-124/126,4770,13.0,STS-124/126,,,,
65,Franklin R. Chang-Diaz,4/5/1950,STS61-C,1602,19.0,STS61-C,,,,
66,Philip K. Chapman,3/5/1935,,0,0.0,,,,,
67,Kalpana Chawla,6/1/1961,STS-87,734,0.0,STS-87,,,,
68,Leroy Chiao,8/28/1960,STS-65,5503,36.0,STS-65,,,,
69,Kevin P. Chilton,3/11/1954,STS-49,700,0.0,STS-49,,,,
70,Laurel B. Clark,3/10/1961,STS-107,382,0.0,STS-107,,,,
71,Mary L. Cleave,2/5/1947,STS61-B,262,0.0,STS61-B,,,,
72,Michael R. Clifford,10/13/1952,STS-53,666,6.0,STS-53,,,,
73,Michael L. Coats,1/16/1946,STS41-D,463,0.0,STS41-D,,,,
74,Kenneth D. Cockrell,4/9/1950,STS-56,1548,0.0,STS-56,,,,
75,Catherine G. Coleman,12/14/1960,STS-73,4324,0.0,STS-73,,,,
76,Eileen M. Collins,11/19/1959,STS-63,890,0.0,STS-63,,,,
77,Michael Collins,10/31/1930,"Gemini10,Apollo11",266,1.0,Gemini10,Apollo11,,,
78,Charles Conrad Jr. ,5/2/1930,"Gemini5,Gemini11,Apollo12,Skylab2",1179,12.0,Gemini5,Gemini11,Apollo12,Skylab2,
79,L. Gordon Cooper Jr. ,3/6/1927,"Mercury9,Gemini5",225,0.0,Mercury9,Gemini5,,,
80,Richard O. Covey,8/1/1946,STS51-l,645,0.0,STS51-l,,,,
81,Timothy J. Creamer,11/15/1959,ISS-22/23,3917,0.0,ISS-22/23,,,,
82,John O. Creighton,4/28/1943,STS51-G,404,0.0,STS51-G,,,,
83,Robert L. Crippen,9/11/1937,STS-1,565,0.0,STS-1,,,,
84,Roger K. Crouch,9/12/1940,STS-83,471,0.0,STS-83,,,,
85,Frank L. Culbertson Jr. ,5/15/1949,STS-38,3446,5.0,STS-38,,,,
86,Walter Cunningham,3/16/1932,Apollo7,260,0.0,Apollo7,,,,
87,Robert L. Curbeam Jr. ,3/5/1962,STS-85,902,45.0,STS-85,,,,
88,Nancy J. Currie,12/29/1958,STS-57,999,0.0,STS-57,,,,
89,N. Jan Davis,11/1/1953,STS-47,673,0.0,STS-47,,,,
90,Lawrence J. Delucas,7/11/1950,STS-50,331,0.0,STS-50,,,,
91,Alvin B. Drew Jr. ,11/5/1962,STS-118,613,13.0,STS-118,,,,
92,Brian Duffy,6/20/1953,STS-45,977,0.0,STS-45,,,,
93,Charles M. Duke Jr. ,10/3/1935,Apollo16,265,20.0,Apollo16,,,,
94,Bonnie J. Dunbar,3/3/1949,STS61-A,1207,0.0,STS61-A,,,,
95,Samuel T. Durrance,9/17/1943,STS-35,614,0.0,STS-35,,,,
96,James P. Dutton Jr. ,11/20/1968,STS-131,362,0.0,STS-131,,,,
97,Joe F. Edwards Jr. ,2/3/1958,STS-89,211,0.0,STS-89,,,,
98,Donn F. Eisele,5/23/1930,Apollo7,260,0.0,Apollo7,,,,
99,Anthony W. England,5/15/1942,STS51-F,190,0.0,STS51-F,,,,
100,Joe H. Engle,8/26/1932,STS-2,224,0.0,STS-2,,,,
101,Jeanette J. Epps,11/3/1970,,0,0.0,,,,,
102,Ronald E. Evans Jr. ,11/10/1933,Apollo17,301,1.0,Apollo17,,,,
103,John M. Fabian,1/28/1939,STS-7,316,0.0,STS-7,,,,
104,Christopher J. Ferguson,9/1/1961,STS-115,970,0.0,STS-115,,,,
105,Martin J. Fettman,12/31/1956,STS-58,336,0.0,STS-58,,,,
106,Andrew J. Feustel,8/25/1965,STS-125,687,42.0,STS-125,,,,
107,E. Michael Fincke,3/14/1967,ISS-09,9159,48.0,ISS-09,,,,
108,Jack D. Fischer,1/23/1974,,0,0.0,,,,,
109,Anna L. Fisher,8/24/1949,STS51-A,191,0.0,STS51-A,,,,
110,William F. Fisher,4/1/1946,STS51-I,170,12.0,STS51-I,,,,
111,C. Michael Foale,1/6/1957,STS-45,8970,22.0,STS-45,,,,
112,Kevin A. Ford,7/7/1960,STS-128,3781,0.0,STS-128,,,,
113,Michael J. Foreman,3/29/1957,STS-123,637,32.0,STS-123,,,,
114,Patrick G. Forrester,3/31/1957,STS-105,950,25.0,STS-105,,,,
115,Michael E. Fossum,12/19/1957,STS-121,4651,48.0,STS-121,,,,
116,Theodore C. Freeman,2/18/1930,,0,0.0,,,,,
117,Stephen N. Frick,9/30/1961,STS-110,566,0.0,STS-110,,,,
118,C. Gordon Fullerton,10/11/1936,STS-3,382,0.0,STS-3,,,,
119,F. Andrew Gaffney,6/9/1946,STS-40,218,0.0,STS-40,,,,
120,Ronald J. Garan Jr. ,10/20/1961,STS-124,4271,27.0,STS-124,,,,
121,Dale A. Gardner,11/8/1948,STS-8,336,12.0,STS-8,,,,
122,Guy S. Gardner,1/6/1948,STS-27,320,0.0,STS-27,,,,
123,Jake Garn,10/12/1932,STS51-D,167,0.0,STS51-D,,,,
124,Owen K. Garriott,11/22/1930,"Skylab3,STS-9",1674,14.0,Skylab3,STS-9,,,
125,Charles D. Gemar,8/4/1955,STS-38,581,0.0,STS-38,,,,
126,Michael L. Gernhardt,5/4/1956,STS-69,1039,23.0,STS-69,,,,
127,Edward G. Gibson,11/8/1936,Skylab4,2017,15.0,Skylab4,,,,
128,Robert L. Gibson,10/30/1946,STS41-B,868,0.0,STS41-B,,,,
129,Edward G. Givens Jr. ,1/5/1930,,0,0.0,,,,,
130,John H. Glenn Jr. ,7/18/1921,"Mercury6,STS-95",218,0.0,Mercury6,STS-95,,,
131,Linda M. Godwin,7/2/1952,STS-37,918,10.0,STS-37,,,,
132,Michael T. Good,10/13/1962,STS-125,592,30.0,STS-125,,,,
133,Richard F. Gordon Jr. ,10/5/1929,"Gemini11,Apollo12",315,0.5,Gemini11,Apollo12,,,
134,Dominic L. Gorie,5/2/1957,STS-91,1167,0.0,STS-91,,,,
135,Ronald J. Grabe,6/13/1945,STS51-J,627,0.0,STS51-J,,,,
136,Duane E. Graveline,3/2/1931,,0,0.0,,,,,
137,Frederick D. Gregory,1/7/1941,STS51-B,455,0.0,STS51-B,,,,
138,William G. Gregory,5/14/1957,STS-67,399,0.0,STS-67,,,,
139,S. David Griggs,9/7/1939,STS51-D,167,3.0,STS51-D,,,,
140,Virgil I. Grissom,4/3/1926,"Mercury4,Gemini3,Apollo1",5,0.0,Mercury4,Gemini3,Apollo1,,
141,John M. Grunsfeld,10/10/1958,STS-67,1407,58.0,STS-67,,,,
142,Sidney M. Gutierrez,6/27/1951,STS-40,488,0.0,STS-40,,,,
143,Fred W. Haise Jr. ,11/14/1933,Apollo13,142,0.0,Apollo13,,,,
144,James D. Halsell Jr. ,9/29/1956,STS-65,1258,0.0,STS-65,,,,
145,Kenneth T. Ham,12/12/1964,STS-124,612,0.0,STS-124,,,,
146,L. Blaine Hammond Jr. ,1/16/1952,STS-39,462,0.0,STS-39,,,,
147,Gregory J. Harbaugh,4/15/1956,STS-39,817,18.0,STS-39,,,,
148,Bernard A. Harris Jr. ,6/26/1956,STS-55,438,5.0,STS-55,,,,
149,Terry J. Hart,10/27/1946,STS41-C,167,0.0,STS41-C,,,,
150,Henry W. Hartsfield Jr. ,11/21/1933,STS-4,482,0.0,STS-4,,,,
151,Frederick H. Hauck,4/11/1941,STS-7,435,0.0,STS-7,,,,
152,Steven A. Hawley,12/12/1951,STS41-D,770,0.0,STS41-D,,,,
153,Susan J. Helms,2/26/1958,STS-54,5063,9.0,STS-54,,,,
154,Karl G. Henize,10/17/1926,STS51-F,190,0.0,STS51-F,,,,
155,Thomas J. Hennen,8/17/1952,STS-44,166,0.0,STS-44,,,,
156,Terence T. Henricks,7/5/1952,STS-44,1026,0.0,STS-44,,,,
157,Jose M. Hernandez,8/7/1962,STS-128,332,0.0,STS-128,,,,
158,John B. Herrington,9/14/1958,STS-113,330,20.0,STS-113,,,,
159,Richard J. Hieb,9/21/1955,STS-39,766,18.0,STS-39,,,,
160,Joan E. Higginbotham,8/3/1964,STS-116,308,0.0,STS-116,,,,
161,David C. Hilmers,1/28/1950,ST51-J,494,0.0,ST51-J,,,,
162,Kathryn P. Hire,8/26/1959,STS-90,711,0.0,STS-90,,,,
163,Charles O. Hobaugh,11/5/1961,STS-104,873,0.0,STS-104,,,,
164,Jeffrey A. Hoffman,11/2/1944,STS51-D,1211,25.0,STS51-D,,,,
165,Donald L. Holmquest,4/7/1939,,0,0.0,,,,,
166,Michael S. Hopkins,12/28/1968,ISS-37/38,3990,13.0,ISS-37/38,,,,
167,Scott J. Horowitz,3/24/1957,STS-75,1137,0.0,STS-75,,,,
168,Millie Hughes-Fulford,12/21/1945,STS-40,218,0.0,STS-40,,,,
169,Douglas G. Hurley,10/21/1966,STS-127,683,0.0,STS-127,,,,
170,Rick D. Husband,7/12/1957,STS-96,617,0.0,STS-96,,,,
171,James B. Irwin,3/17/1930,Apollo15,295,20.0,Apollo15,,,,
172,Marsha S. Ivins,4/15/1951,STS-32,1341,0.0,STS-32,,,,
173,Gregory B. Jarvis,8/24/1944,STS51-L,0,0.0,STS51-L,,,,
174,Mae C. Jemison,10/17/1956,STS-47,190,0.0,STS-47,,,,
175,Tamara E. Jernigan,5/7/1959,STS-40,1489,8.0,STS-40,,,,
176,Brent W. Jett,10/5/1958,STS-72,1002,0.0,STS-72,,,,
177,Gregory C. Johnson,7/30/1954,STS-125,309,0.0,STS-125,,,,
178,Gregory H. Johnson,5/12/1962,STS-123,755,0.0,STS-123,,,,
179,Thomas D. Jones,1/22/1955,STS-59,1272,20.0,STS-59,,,,
180,Janet L. Kavandi,7/17/1959,STS-91,812,0.0,STS-91,,,,
181,James M. Kelly,5/14/1964,STS-102,641,0.0,STS-102,,,,
182,Mark E. Kelly,2/21/1964,STS-108,1298,0.0,STS-108,,,,
183,Scott J. Kelly,2/21/1964,STS-103,12490,18.0,STS-103,,,,
184,Joseph P. Kerwin,2/19/1932,Skylab2,672,3.0,Skylab2,,,,
185,Susan L. Kilrain (Still),10/24/1961,STS-83,472,0.0,STS-83,,,,
186,Robert Shane Kimbrough,6/4/1967,STS-126,3720,25.0,STS-126,,,,
187,Timothy L. Kopra,4/9/1963,STS-127/128,5857,13.0,STS-127/128,,,,
188,Kevin R. Kregel,9/16/1956,STS-70,1265,0.0,STS-70,,,,
189,Wendy B. Lawrence,7/2/1959,STS-67,1223,0.0,STS-67,,,,
190,Mark C. Lee,8/14/1952,STS-30,789,26.0,STS-30,,,,
191,David C. Leestma,5/6/1949,STS41-G,532,3.0,STS41-G,,,,
192,William B. Lenoir,3/14/1939,STS-5,122,0.0,STS-5,,,,
193,Fred W. Leslie,12/19/1951,STS-73,381,0.0,STS-73,,,,
194,Byron K. Lichtenberg,2/19/1948,STS-9,461,0.0,STS-9,,,,
195,Don L. Lind,5/18/1930,STS51-B,168,0.0,STS51-B,,,,
196,Kjell N. Lindgren,1/23/1973,ISS-44/45,3400,15.0,ISS-44/45,,,,
197,Steven W. Lindsey,8/24/1960,STS-87,1510,0.0,STS-87,,,,
198,Jerry M. Linenger,1/16/1955,STS-64,3435,5.0,STS-64,,,,
199,Richard M. Linnehan,9/19/1957,STS-78,1427,43.0,STS-78,,,,
200,Gregory T. Linteris,10/4/1957,STS-83,471,0.0,STS-83,,,,
201,John A. Llewellyn,4/22/1933,,0,0.0,,,,,
202,Paul S. Lockhart,4/28/1956,STS-111,663,0.0,STS-111,,,,
203,Michael E. Lopez-Alegria,5/30/1958,STS-73,6190,67.0,STS-73,,,,
204,Christopher J. Loria,7/9/1960,,0,0.0,,,,,
205,J. Mike Lounge,6/28/1946,STS51-I,483,0.0,STS51-I,,,,
206,Jack R. Lousma,2/29/1936,"Skylab3,STS-3",1619,11.0,Skylab3,STS-3,,,
207,Stanley G. Love,6/8/1965,STS-122,306,15.0,STS-122,,,,
208,James A. Lovell Jr. ,3/25/1928,"Gemini7,Gemini12,Apollo8,Apollo13",715,0.0,Gemini7,Gemini12,Apollo8,Apollo13,
209,G. David Low,2/19/1956,STS-32,714,6.0,STS-32,,,,
210,Edward T. Lu,7/1/1963,STS-84,4962,6.0,STS-84,,,,
211,Shannon W. Lucid,1/14/1943,STS51-G,5354,0.0,STS51-G,,,,
212,Sandra H. Magnus,10/30/1964,STS-112,3776,0.0,STS-112,,,,
213,Thomas H. Marshburn,8/29/1960,STS-127,3871,24.0,STS-127,,,,
214,Michael J. Massimino,8/19/1962,STS-109,571,30.0,STS-109,,,,
215,Richard A. Mastracchio,2/11/1960,STS-106,5461,53.0,STS-106,,,,
216,Thomas K. Mattingly II ,3/17/1936,"Apollo16,STS-4",508,1.0,Apollo16,STS-4,,,
217,K. Megan McArthur,8/30/1971,STS-125,309,0.0,STS-125,,,,
218,William S. McArthur Jr. ,7/26/1951,STS-58,5398,24.0,STS-58,,,,
219,S. Christa McAuliffe,9/2/1948,STS51-L,0,0.0,STS51-L,,,,
220,Jon A. McBride,8/14/1943,STS41-G,197,0.0,STS41-G,,,,
221,Bruce McCandless II ,6/8/1937,STS41-B,312,12.0,STS41-B,,,,
222,William C. McCool,9/23/1961,STS-107,382,0.0,STS-107,,,,
223,Michael J. McCulley,8/4/1943,STS-34,119,0.0,STS-34,,,,
224,James A. McDivitt,6/10/1929,"Gemini4,Apollo9",338,0.0,Gemini4,Apollo9,,,
225,Donald R. McMonagle,5/14/1952,STS-39,605,0.0,STS-39,,,,
226,Ronald E. McNair,10/21/1950,STS41-B,191,0.0,STS41-B,,,,
227,Carl J. Meade,11/16/1950,STS-38,712,6.0,STS-38,,,,
228,Bruce E. Melnick,12/5/1949,STS-41,311,0.0,STS-41,,,,
229,Pamela A. Melroy,9/17/1961,STS-92,914,0.0,STS-92,,,,
230,Leland D. Melvin,2/15/1964,STS-122,565,0.0,STS-122,,,,
231,Dorothy M. Metcalf-Lindenberger,5/2/1975,STS-131,362,0.0,STS-131,,,,
232,F. Curtis Michel,6/5/1934,,0,0.0,,,,,
233,Edgar D. Mitchell,9/17/1930,Apollo14,216,9.0,Apollo14,,,,
234,Barbara R. Morgan,11/28/1951,STS-118,305,0.0,STS-118,,,,
235,Lee M. Morin,9/9/1952,STS-110,259,14.0,STS-110,,,,
236,Richard M. Mullane,9/10/1945,STS41-D,356,0.0,STS41-D,,,,
237,Story Musgrave,8/19/1935,STS-6,1281,26.0,STS-6,,,,
238,Steven R. Nagel,10/27/1946,STS51-G,721,0.0,STS51-G,,,,
239,Bill Nelson,9/29/1942,STS61-C,146,0.0,STS61-C,,,,
240,George D. Nelson,7/13/1950,STS41-C,411,10.0,STS41-C,,,,
241,James H. Newman,10/16/1956,STS-51,1042,43.0,STS-51,,,,
242,Carlos I. Noriega,10/8/1959,STS-84,481,19.0,STS-84,,,,
243,Lisa M. Nowak,5/10/1963,STS-121,306,0.0,STS-121,,,,
244,Karen L. Nyberg,10/7/1969,STS-124,4320,0.0,STS-124,,,,
245,Bryan D. O'Connor,9/6/1946,STS61-B,383,0.0,STS61-B,,,,
246,Brian T. O'Leary,1/27/1940,,0,0.0,,,,,
247,Ellen Ochoa,5/10/1958,STS-56,979,0.0,STS-56,,,,
248,William A. Oefelein,3/29/1965,STS-116,308,0.0,STS-116,,,,
249,John D. Olivas,5/25/1966,STS-117,665,34.0,STS-117,,,,
250,Ellison S. Onizuka,6/24/1946,STS51-C,73,0.0,STS51-C,,,,
251,Stephen S. Oswald,6/30/1951,STS-42,814,0.0,STS-42,,,,
252,Robert F. Overmyer,7/14/1936,STS-5,290,0.0,STS-5,,,,
253,William A. Pailes,6/26/1952,STS51-J,97,0.0,STS51-J,,,,
254,Scott E. Parazynski,7/28/1961,STS-66,1404,47.0,STS-66,,,,
255,Ronald A. Parise,5/24/1951,STS-35,614,0.0,STS-35,,,,
256,Robert A. Parker,12/14/1936,STS-9,462,0.0,STS-9,,,,
257,Niclolas J. M. Patrick,3/22/1964,STS-116,638,18.0,STS-116,,,,
258,James A. Pawelczyk,9/20/1960,STS-90,381,0.0,STS-90,,,,
259,Gary E. Payton,6/20/1948,STS51-C,73,0.0,STS51-C,,,,
260,Donald H. Peterson,10/22/1933,STS-6,120,4.0,STS-6,,,,
261,Donald R. Pettit,4/20/1955,ISS-6,8872,13.0,ISS-6,,,,
262,John L. Phillips,4/15/1951,STS-100,4880,5.0,STS-100,,,,
263,William R. Pogue,1/23/1930,Skylab4,2017,13.0,Skylab4,,,,
264,Alan G. Poindexter,11/5/1961,STS-122,669,0.0,STS-122,,,,
265,Mark L. Polansky,6/2/1956,STS-98,995,0.0,STS-98,,,,
266,Charles J. Precourt,6/29/1955,STS-55,950,0.0,STS-55,,,,
267,William F. Readdy,1/24/1952,STS-42,672,0.0,STS-42,,,,
268,Kenneth S. Reightler Jr. ,3/24/1951,STS-48,327,0.0,STS-48,,,,
269,James F. Reilly II ,3/18/1954,STS-89,854,31.0,STS-89,,,,
270,Garrett E. Reisman,2/10/1968,STS-123/124,2571,21.0,STS-123/124,,,,
271,Judith A. Resnik,4/5/1949,STS41-D,144,0.0,STS41-D,,,,
272,Paul W. Richards,5/20/1964,STS-102,307,6.0,STS-102,,,,
273,Richard N. Richards,8/24/1946,STS-28,813,0.0,STS-28,,,,
274,Sally K. Ride,5/26/1951,STS-7,343,0.0,STS-7,,,,
275,Patricia Hilliard Robertson,3/12/1963,,0,0.0,,,,,
276,Stephen K. Robinson,10/26/1955,STS-85,1162,20.0,STS-85,,,,
277,Kent V. Rominger,8/7/1956,STS-73,1611,0.0,STS-73,,,,
278,Stuart A. Roosa,8/16/1933,Apollo14,216,0.0,Apollo14,,,,
279,Jerry L. Ross,1/20/1948,ST61-B,1393,58.0,ST61-B,,,,
280,Kathleen Rubins,10/14/1978,ISS-48/49,2762,13.0,ISS-48/49,,,,
281,Mario Runco Jr. ,1/26/1952,STS-44,551,0.0,STS-44,,,,
282,Albert Sacco Jr.,5/3/1949,STS-73,381,0.0,STS-73,,,,
283,Robert L. Satcher Jr. ,9/22/1965,STS-129,259,12.0,STS-129,,,,
284,Walter M. Schirra Jr. ,3/12/1923,"Mercury8,Gemini6,Apollo7",295,0.0,Mercury8,Gemini6,Apollo7,,
285,Harrison H. Schmitt,7/3/1935,Apollo17,301,22.0,Apollo17,,,,
286,Russell L. Schweickart,10/25/1935,Apollo9,241,1.0,Apollo9,,,,
287,Francis R. Scobee,5/19/1939,STS41-C,167,0.0,STS41-C,,,,
288,David R. Scott,6/6/1932,"Gemini8,Apollo9,Apollo15",546,19.0,Gemini8,Apollo9,Apollo15,,
289,Winston E. Scott,8/6/1950,STS-72,590,19.0,STS-72,,,,
290,Paul D. Scully-Power,5/28/1944,STS41-G,197,0.0,STS41-G,,,,
291,Richard A. Searfoss,6/5/1956,STS-58,939,0.0,STS-58,,,,
292,Margaret Rhea Seddon,11/8/1947,STS51-D,722,0.0,STS51-D,,,,
293,Elliot M. See Jr. ,7/23/1927,,0,0.0,,,,,
294,Ronald M. Sega,12/4/1952,STS-60,420,0.0,STS-60,,,,
295,Piers J. Sellers,4/11/1955,STS-112,839,41.0,STS-112,,,,
296,Brewster H. Shaw Jr. ,5/16/1945,STS-9,533,0.0,STS-9,,,,
297,Alan B. Shepard Jr. ,11/18/1923,"Mercury3,Apollo14",216,9.0,Mercury3,Apollo14,,,
298,William M. Shepherd,7/26/1949,STS-37,3823,0.0,STS-37,,,,
299,Loren J. Shriver,9/23/1944,STS51-C,386,0.0,STS51-C,,,,
300,Donald K. Slayton,3/1/1924,Apollo-SoyuzTestProject,217,0.0,Apollo-SoyuzTestProject,,,,
301,Michael J. Smith,4/30/1945,STS51-L,0,0.0,STS51-L,,,,
302,Steven L. Smith,12/30/1958,STS-68,960,49.0,STS-68,,,,
303,Sherwood C. Spring,9/23/1944,STS61-B,165,12.0,STS61-B,,,,
304,Robert C. Springer,5/21/1942,STS-29,237,0.0,STS-29,,,,
305,Thomas P. Stafford,9/17/1930,"Gemini6,Gemini9,Apollo10,Apollo-SoyuzTestProject",507,0.0,Gemini6,Gemini9,Apollo10,Apollo-SoyuzTestProject,
306,Heidemarie M. Stefanyshyn-Piper,2/7/1963,STS-115,663,33.0,STS-115,,,,
307,Robert L. Stewart,8/13/1942,STS41-B,289,12.0,STS41-B,,,,
308,Nicole P. Stott,11/19/1962,STS-128/129,2477,6.0,STS-128/129,,,,
309,Frederick W. Sturckow,8/11/1961,STS-88,1233,0.0,STS-88,,,,
310,Kathryn D. Sullivan,10/3/1951,STS41-G,532,3.0,STS41-G,,,,
311,Steven R. Swanson,12/3/1960,STS-117,4700,28.0,STS-117,,,,
312,John L. Swigert Jr. ,8/30/1931,Apollo13,142,0.0,Apollo13,,,,
313,Daniel M. Tani,2/1/1961,STS-108,3162,39.0,STS-108,,,,
314,Joseph R. Tanner,1/21/1950,STS-66,1045,46.0,STS-66,,,,
315,Norman E. Thagard,7/3/1943,STS-7,3373,0.0,STS-7,,,,
316,Andrew S. W. Thomas,12/18/1951,STS-77,4257,6.0,STS-77,,,,
317,Donald A. Thomas,5/6/1955,STS-65,1040,0.0,STS-65,,,,
318,Stephen D. Thorne,2/11/1953,,0,0.0,,,,,
319,Kathryn C. Thornton,8/17/1952,STS-33,975,21.0,STS-33,,,,
320,William E. Thornton,4/14/1929,STS-8,315,0.0,STS-8,,,,
321,Pierre J. Thuot,5/19/1955,STS-36,654,17.0,STS-36,,,,
322,Scott D. Tingle,7/19/1965,,0,0.0,,,,,
323,Richard H. Truly,11/12/1937,STS-2,199,0.0,STS-2,,,,
324,Lodewijk van den Berg,3/24/1932,STS51-B,168,0.0,STS51-B,,,,
325,James D. van Hoften,6/11/1944,STS41-C,338,22.0,STS41-C,,,,
326,Mark T. Vande Hei,11/10/1966,,0,0.0,,,,,
327,Charles Lacy Veach,9/18/1944,STS-39,436,0.0,STS-39,,,,
328,Terry W. Virts Jr. ,12/1/1967,STS-130,5122,18.0,STS-130,,,,
329,James S. Voss,3/3/1949,STS-44,4853,22.0,STS-44,,,,
330,Janice E. Voss,10/8/1956,STS-57,1179,0.0,STS-57,,,,
331,Rex J. Walheim,10/10/1962,STS-110,872,36.0,STS-110,,,,
332,Charles D. Walker,8/29/1948,STS41-D,477,0.0,STS41-D,,,,
333,David M. Walker,5/20/1944,STS51-A,724,0.0,STS51-A,,,,
